id,timestamp,tweet_text,username,location,coordinates,place_json,all_hashtags,followers_count
1369773230823706627,2021-03-10 22:12:42,b'@Flamingo_Kat @ProfDonnaHall @wearenewlocal @danny__kruger Yes. Though think a question to kruger would be more whether he thinks centre-right is hypocritical-  as on one hand it purports to support  #communitypower but on other seems  unprepared to end #localgov and service austerity that would allow it to grow?',b'nmcinroy',here and there,,"Place(_api=<tweepy.api.API object at 0x7effeb674100>, id='1a3fd0b34e5cc504', url='https://api.twitter.com/1.1/geo/id/1a3fd0b34e5cc504.json', place_type='city', name='Urmston', full_name='Urmston, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7effeb674100>, type='Polygon', coordinates=[[[-2.4094209, 53.4316145], [-2.25304, 53.4316145], [-2.25304, 53.480382], [-2.4094209, 53.480382]]]), attributes={})","['communitypower', 'localgov']",10912
1369775440429256707,2021-03-10 22:21:28,b'Lots of great projects mentioned including the wonderful Ambition Lawrence Weston Wind #communityenergy #wind https://t.co/02RoPTFJyf',b'BedfordSonya',"Bristol, UK",,,"['communityenergy', 'wind']",1020
1369818304714444800,2021-03-11 01:11:48,"b""With Victoria's expanded Community Power Hubs program, we can expect to see hundreds more people enjoying the benefits of clean energy.  #communitypower #renewables https://t.co/E6htKgl8Gw""",b'CommunityPowerA',Australia,,,"['communitypower', 'renewables']",1280
1369909044979191808,2021-03-11 07:12:22,b'Sometimes we just need to ask for help #communitypower',b'Sinha_199',"Patna, India",,,['communitypower'],79
1369910720855347203,2021-03-11 07:19:02,"b""Australia's largest community-owned solar farm begins powering homes in Canberra https://t.co/JLHWwagVAs #Canberra #solar #cleantech #renewables #communityenergy""",b'DrRimmer',"Brisbane, Queensland",,,"['Canberra', 'solar', 'cleantech', 'renewables', 'communityenergy']",16702
1369914055398461440,2021-03-11 07:32:17,"b'An article on how community projects, often set up with the primary aim of reducing poverty and improving people\xe2\x80\x99s day-to-day lives, were also reducing emissions and restoring nature. #nature #communitypower #ClimateCrisis #ClimateAction https://t.co/Hk5CadRKEW'",b'barbosavl',Leighton Buzzard,,"Place(_api=<tweepy.api.API object at 0x7effeb66ebe0>, id='210318e5e15acd80', url='https://api.twitter.com/1.1/geo/id/210318e5e15acd80.json', place_type='city', name='Leighton Buzzard', full_name='Leighton Buzzard, England', country_code='GB', country='United Kingdom', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7effeb66ebe0>, type='Polygon', coordinates=[[[-0.696632, 51.9037882], [-0.629939, 51.9037882], [-0.629939, 51.9397606], [-0.696632, 51.9397606]]]), attributes={})","['nature', 'communitypower', 'ClimateCrisis', 'ClimateAction']",2116
1369921961187565576,2021-03-11 08:03:42,"b'Yesterday we gave lots of home starter  kits, household items, bedding snd towels along with 25 Easter eggs for the guys in @AlphaHousing #workingtogether #communitypower https://t.co/pKJNObsVWz'",b'Focus4Hope',"Brighouse, West Yorkshire",,,"['workingtogether', 'communitypower']",348
1369934266218479618,2021-03-11 08:52:35,"b""@jesstud @DemocracyCollab This was one of yesterday's highlights @wearenewlocal #StongerThings event. Now looking forward to @ProfDonnaHall and @MichaelMarmot discuss Action on health equity today #communitypower""",b'501mossy',Lanky Land,,,"['StongerThings', 'communitypower']",1363
1369938646611148801,2021-03-11 09:10:00,"b""Ready for this evening's Imaginative Communities session? Learning from @Afsheen_Rashid of @RepowerLondon about #communityenergy, @DanRavenEllison of #nationalparkcity &amp; @SlowWaysUK &amp; Kamran Shezad of @bahutrustuk on #community #faith based approaches https://t.co/FTVTLJSLSF https://t.co/ODE55hZveX""",b'TTBounceForward',,,,"['communityenergy', 'nationalparkcity', 'community', 'faith']",956
1369949952470884353,2021-03-11 09:54:55,"b'Great to see our new #communitypower animation beamed out at to 100s of people at #StrongerThings.   Thanks to @fredanderic10 &amp; @aardemmusic for helping create a powerful, sub-2 minute story of why things need to change: https://t.co/qCChJc1Zp2 https://t.co/aA22MC28MV'",b'katoglet',London,,,"['communitypower', 'StrongerThings']",477
1369950430122409986,2021-03-11 09:56:49,b'Really looking forward to dipping in and out again this morning. Inspiring! Main sessions are being recorded so catch up if you can. It\xe2\x80\x99s been great so far. #StrongerThings #communitypower https://t.co/H9QdOaDOk6',b'pritchardkate',"Black Country, West Midlands",,,"['StrongerThings', 'communitypower']",2378
1369951310410289153,2021-03-11 10:00:19,b'\xe2\x80\x9cBold humility\xe2\x80\x9d \xe2\x80\x9cCannot do enough listening\xe2\x80\x9d Inspiring intro from @ProfDonnaHall  #StrongerThings #communitypower',b'pritchardkate',"Black Country, West Midlands",,,"['StrongerThings', 'communitypower']",2378
1369958879661031428,2021-03-11 10:30:24,"b'Michael Marmot, asked about the need for a new Beveridge report says \xe2\x80\x9cwe already have the report (Build Back Fairer) we now need to *act*\xe2\x80\x9d. #communitypower'",b'SmithTonyD',Birmingham and London,,,['communitypower'],4533
